step,time,reward,x,y,psi,x_d,y_d,psi_d,Fx,Fy,N,Fx_set,Fy_set,N_set,u,v,r,u_current,v_current,rmsAc,r0,r1,r2,r3,r4,a0,a1,a2,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1.0,0.02,0.9697181059449052,0.4521364481237361,-0.3697951573523659,5.892312853194572,0.0,0.0,4.664013775356215,45.88975528679215,12.629503829316747,0.0,-111.4434167826811,150.0,-20.0,-0.11500642367699815,0.2853149189988013,-2.5,0.9509499030080266,0.04233749585337403,0.0,0.05390603130651158,0.0008782007779465903,1.0,-0.08506612613955315,0.0,-0.7429561118845407,1.0,-1.0,-0.4521364481237361,0.3697951573523659,-1.0,0.0,0.0,0.0,-0.11500642367699815,0.2853149189988013,-1.0,0.0,0.0
2.0,0.04,0.923852691772401,0.44983631965019616,-0.36408885897238985,5.8423128531945725,0.0,0.0,4.664013775356215,50.3711717948582,-12.44388065727055,9.862499999999999,-67.82046721856041,55.469273602854884,-20.0,-0.1456192226659494,0.3607980645173703,-3.7671875000000004,0.8941868227344103,0.04483972831924298,0.15350408440140645,0.05537731768957971,0.0011695263789671018,0.9120117085746279,-0.044705860870773634,0.0,-0.4521364481237361,0.3697951573523659,-1.0,-0.44983631965019616,0.36408885897238985,-1.0,0.04999999999999982,0.002300128473539942,-0.005706298379976049,-0.1456192226659494,0.3607980645173703,-1.0,0.0,0.0
3.0,0.06,0.9306953217674164,0.4469239351968772,-0.35687289768204244,5.7669691031945725,0.0,0.0,4.664013775356215,48.6708230701855,-16.630213963746765,22.260840698242195,-66.61289976995195,52.473466953367456,-20.0,-0.17709655020939932,0.423680964499161,-3.484582412719726,0.8346541907512965,0.042169653291958056,0.14697635229403258,0.057289973792607723,0.0018009003806702716,0.9155907337420908,-0.04398628614795232,0.0,-0.44408599846634633,0.3498231130224497,-1.0,-0.4469239351968772,0.35687289768204244,-1.0,0.07534375000000004,0.0029123844533189835,-0.007215961290347406,-0.17709655020939932,0.423680964499161,-1.0,0.0,0.0
4.0,0.08,0.9400980010478767,0.4433820041926892,-0.3483992783920592,5.697277454940178,0.0,0.0,4.664013775356215,47.86525192755661,-20.210660972436294,19.064508384995605,-65.94644610953696,50.82494916842609,-20.0,-0.20881794351111924,0.4773902420359852,-3.6015188645952754,0.7837894097243646,0.03428363770127798,0.13647659006190085,0.05963933606964293,0.0026847577020059125,0.9213770320354148,-0.0436031247591869,0.0,-0.4396429740635797,0.33883299445617393,-1.0,-0.4433820041926892,0.3483992783920592,-1.0,0.06969164825439478,0.0035419310041879815,-0.008473619289983247,-0.20881794351111924,0.4773902420359852,-1.0,0.0,0.0
5.0,0.1,0.9497234983552812,0.4392056453224668,-0.3388514735513395,5.625247077648273,0.0,0.0,4.664013775356215,48.12292598724126,-23.835315704875825,20.357060425176915,-65.17907650233289,49.08228452506516,-20.0,-0.23874101459022737,0.5216831697907033,-3.556886311448161,0.7441761745088935,0.021714374977457512,0.12736392223485152,0.0624346768736656,0.004056392955461737,0.9264285509971115,-0.04319612247095766,0.0,-0.43452717668221924,0.3272152301671011,-1.0,-0.4392056453224668,0.3388514735513395,-1.0,0.07203037729190509,0.004176358870222385,-0.00954780484071971,-0.23874101459022737,0.5216831697907033,-1.0,0.0,0.0
6.0,0.12000000000000001,0.9595890797354331,0.43443082503066227,-0.3284178101555254,5.554109351419309,0.0,0.0,4.664013775356215,49.515787980655666,-27.35497063551322,19.858714402280693,-64.31471222203663,47.24729421743103,-20.0,-0.26470403957510624,0.5565819830923134,-3.5745470111630744,0.7189805598905129,0.004631834937615948,0.1199078875436936,0.0656776555102988,0.00609752707726555,0.9305823253242715,-0.042768428176402785,0.0,-0.42876474814691085,0.3149819614495402,-1.0,-0.43443082503066227,0.3284178101555254,-1.0,0.07113772622896342,0.004774820291804538,-0.010433663395814086,-0.26470403957510624,0.5565819830923134,-1.0,0.0,0.0
7.0,0.14,0.970196397845571,0.42913674423916015,-0.31728617049367913,5.482618411196047,0.0,0.0,4.664013775356215,52.30874859470267,-30.777899446512794,20.055167110054462,-63.37406614517264,45.35004774989853,-20.0,-0.2841168773829483,0.5821471555543937,-3.5676511224062666,0.7117117056767553,-0.018459724944682652,0.11382677725818872,0.06935840084583615,0.009184306448176222,0.9339839114266562,-0.042330220875097475,0.0,-0.4224937743011509,0.3023336516659902,-1.0,-0.42913674423916015,0.31728617049367913,-1.0,0.07149094022326175,0.00529408079150212,-0.011131639661846271,-0.2841168773829483,0.5821471555543937,-1.0,0.0,0.0
8.0,0.16,0.9821659433059133,0.4234544066915012,-0.30564322738259125,5.411265388747922,0.0,0.0,4.664013775356215,56.05156623172629,-33.16869947322958,19.978344101938816,-62.38523133906073,43.418560700859516,-20.0,-0.29522857055371043,0.6001293682344462,-3.5703581096639145,0.7169366027855368,-0.04147765426596968,0.1088310787961382,0.07344748055753259,0.013822793200223362,0.9367876525149164,-0.04189198296675903,0.0,-0.4159015422604049,0.28945707133906345,-1.0,-0.4234544066915012,0.30564322738259125,-0.9514303040374724,0.07135302244812536,0.0056823375476589555,-0.011642943111087878,-0.29522857055371043,0.6001293682344462,-1.0,0.0,0.0
9.0,0.18,0.9967540722450312,0.417549835280427,-0.29364064001790235,5.339858226554644,0.0,0.0,4.664013775356215,60.99768372705362,-34.05126808452749,20.00848346610294,-61.387284423353066,41.48038044073073,-18.542909121124175,-0.29591208054721824,0.6131628986839255,-3.387161316541569,0.73397435572204,-0.061871376807286896,0.11232150444872561,0.07790103358622363,0.020810378172663072,0.9348278328206765,-0.036785172334532,0.0,-0.4092485628223538,0.27653586960487153,-0.9271454560562087,-0.417549835280427,0.29364064001790235,-0.860511881355673,0.07140716219327814,0.0059045714110742,-0.0120025873646889,-0.29591208054721824,0.6131628986839255,-1.0,0.0,0.0
10.0,0.19999999999999998,1.013810831277178,0.41163159366948265,-0.28137738204422386,5.272115000223812,0.0,0.0,4.664013775356215,67.35931682065323,-33.24517213541043,18.020037057785114,-60.41826101291123,39.54512574092701,-16.301053400295466,-0.2837347896564428,0.6242154488690423,-3.172288359355363,0.7612998010068655,-0.0778315651808827,0.12033634868490062,0.08265670228017813,0.03067941500909864,0.930343125052938,-0.029868411065036658,0.0,-0.4027884067527415,0.2636341716061801,-0.8150526700147733,-0.41163159366948265,0.28137738204422386,-0.774258526703314,0.06774322633083152,0.005918241610944341,-0.012263257973678499,-0.2837347896564428,0.6242154488690423,-1.0,0.0,0.0
11.0,0.21999999999999997,1.0778259734334217,0.4059568978763538,-0.268893073066843,5.208669233036705,0.0,0.0,4.664013775356215,74.70144161738776,-31.303143487529187,15.820351009252263,-59.52539844631827,37.607885566504144,-14.622636987542688,-0.2571101525142156,0.6352763998847879,-3.022574106641666,0.7964744177310531,-0.08845111463048418,0.04864702952832608,0.0876267637549309,0.044128656452367215,0.971233643882987,-0.025163090656863507,0.0,-0.3968359896421218,0.25071923711002764,-0.7311318493771344,-0.4059568978763538,0.268893073066843,-0.6934768669746283,0.06344576718710737,0.005674695793128848,-0.012484308977380842,-0.2571101525142156,0.6352763998847879,-1.0,0.0,0.0
12.0,0.23999999999999996,1.0988487689584896,0.4008146948260695,-0.25618754506914726,5.148217750903871,0.0,0.0,4.664013775356215,82.18227300642125,-28.93395641431794,14.372309244182949,-58.765523759029755,35.652345093508636,-13.06172074220571,-0.21602813629072173,0.6470630466903856,-2.858750543894511,0.8366863963648037,-0.0936025622376136,0.05941519693767285,0.09269243626853425,0.062394108555817805,0.9649788276309955,-0.021216603496857934,0.0,-0.3917701583935317,0.2376823006233909,-0.6530860371102855,-0.4008146948260695,0.25618754506914726,-0.6165076493852533,0.06045148213283369,0.005142203050284289,-0.012705527997695754,-0.21602813629072173,0.6470630466903856,-1.0,0.0,0.0
13.0,0.25999999999999995,1.1253935606213155,0.3964941321002551,-0.24324628413533955,5.091042740025981,0.0,0.0,4.664013775356215,88.9915746666827,-26.686637192326387,12.867417280009217,-58.19387808005382,33.66355876123618,-11.560460811811314,-0.1619970896475132,0.6593032599691747,-2.695380985369773,0.8792827069637057,-0.0937294875110905,0.06987202578251912,0.09770392218126789,0.08657919450034754,0.9589434097651408,-0.01783296582544079,0.0,-0.3879591872003588,0.22442372507490788,-0.5780230405905658,-0.3964941321002551,0.24324628413533955,-0.54371016456486,0.057175010877890564,0.004320562725814436,-0.012941260933807708,-0.1619970896475132,0.6593032599691747,-1.0,0.0,0.0
14.0,0.27999999999999997,1.159241925268785,0.3932541903073048,-0.23006021893595605,5.0371351203185855,0.0,0.0,4.664013775356215,94.3602760774672,-24.92869864579949,11.449548586229925,-57.853908792857844,31.63396977012304,-10.146228443093266,-0.09795083125346168,0.6710668935206195,-2.5324659674776906,0.9222146473491086,-0.08913455527852997,0.07872157558408092,0.10248605407024942,0.11791068696154205,0.9538651732512491,-0.015019989014255676,0.0,-0.38569272528571896,0.21089313180082028,-0.5073114221546633,-0.3932541903073048,0.23006021893595605,-0.47507285139085964,0.05390761970739533,0.003239941792950285,-0.013186065199383507,-0.09795083125346168,0.6710668935206195,-1.0,0.0,0.0
15.0,0.3,1.2018015970931455,0.39129517368223554,-0.21663888106554366,4.986485800969032,0.0,0.0,4.664013775356215,97.92976361454441,-23.754095201489022,10.118017626194147,-57.77315037373936,29.56425839062459,-8.815083896077189,-0.027500632585382642,0.681260162273489,-2.369599251213071,0.9640811130641137,-0.08054903601957966,0.08539265473063808,0.10685145207596808,0.15761047975450473,0.9500548180532374,-0.012715152790564866,0.0,-0.3851543358249291,0.19709505593749727,-0.44075419480385947,-0.39129517368223554,0.21663888106554366,-0.4105841350810878,0.050649319349553856,0.0019590166250692542,-0.013421337870412386,-0.027500632585382642,0.681260162273489,-1.0,0.0,0.0
16.0,0.32,1.2543924121956849,0.39074516103052787,-0.20301367782007387,4.93909381594477,0.0,0.0,4.664013775356215,99.55780522061833,-23.124648075782723,8.86912289517671,-57.95964481793436,27.462830458426904,-7.566795538524039,0.04547859619125591,0.6888710085588297,-2.206808331631487,1.0031816090379335,-0.0691746033032191,0.08924822781196157,0.11061682534947948,0.20678151310214668,0.9478595547622989,-0.010865481018240282,0.0,-0.3863976321195624,0.1830855363895127,-0.3783397769262019,-0.39074516103052787,0.20301367782007387,-0.3502427856447015,0.04739198502426145,0.0005500126517076764,-0.013625203245469786,0.04547859619125591,0.6888710085588297,-1.0,0.0,0.0
17.0,0.34,1.318218853563069,0.391654732954353,-0.1892362576488973,4.894957649312141,0.0,0.0,4.664013775356215,99.326582347548,-22.905012420248614,7.70298125267933,-58.4055194101888,25.34260045595991,-6.401442218530167,0.11726993467785099,0.6931474787969196,-2.0441159523628416,1.0378142533702595,-0.056244769953439466,0.08946213235795143,0.1136220026565191,0.2662789253072877,0.9477379116878336,-0.009419986088571497,0.0,-0.3893701294012587,0.1689506697063994,-0.32007211092650834,-0.391654732954353,0.1892362576488973,-0.29404687293501713,0.044136166632629426,-0.0009095719238251254,-0.013777420171176585,0.11726993467785099,0.6931474787969196,-1.0,0.0,0.0
