step,time,reward,x,y,psi,x_d,y_d,psi_d,Fx,Fy,N,Fx_set,Fy_set,N_set,u,v,r,u_current,v_current,rmsAc,r0,r1,r2,r3,r4,a0,a1,a2,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1.0,0.02,1.583364051817177,-0.03285387440123655,-0.0795870002993857,1.2836784383019526,0.0,0.0,0.37172482372780213,119.00324841354912,-31.184431995359013,0.0,150.0,-61.085795158766,-20.0,0.47193552353254226,-0.16187759149846492,-2.5,0.9679964757364379,-0.06083439937215316,0.0,0.6501790568651947,0.0053797717966915575,1.0,-0.07219477684470922,0.0,1.0,-0.4072386343917733,-1.0,0.03285387440123655,0.0795870002993857,-1.0,0.0,0.0,0.0,0.47193552353254226,-0.16187759149846492,-1.0,0.0,0.0
2.0,0.04,1.4885417239176637,-0.0234151639305857,-0.082824552129355,1.2336784383019526,0.0,0.0,0.37172482372780213,37.5965936636333,-6.240479845494469,9.862499999999999,4.928081160185482,11.938050044907856,-20.0,0.5465402162059085,-0.1518818543065116,-3.7671875000000004,0.9948681802703417,-0.058350749447893965,0.2423286267149871,0.6502789737861773,0.007164403843692203,0.8646787952104553,-0.033580448922660884,0.0,0.03285387440123655,0.0795870002993857,-1.0,0.0234151639305857,0.082824552129355,-1.0,0.050000000000000044,-0.009438710470650848,0.003237551829969293,0.5465402162059085,-0.1518818543065116,-1.0,0.0,0.0
3.0,0.06,1.4954838728261448,-0.012484359606467531,-0.08586218921548523,1.1583346883019525,0.0,0.0,0.37172482372780213,29.68463257753243,-5.469160445923456,22.260840698242195,-0.02724183690621263,13.637764755641735,-20.0,0.5985707262771826,-0.1375509695526199,-3.484582412719726,1.01257312483554,-0.053258139482107184,0.232036138216384,0.6480254717979681,0.011032139027745497,0.8700351351406503,-0.03360887314021912,0.0,-0.00018161224604141754,0.09091843170427823,-1.0,0.012484359606467531,0.08586218921548523,-1.0,0.07534375000000004,-0.01093080432411817,0.0030376370861302376,0.5985707262771826,-0.1375509695526199,-1.0,0.0,0.0
4.0,0.08,1.50379805205268,-0.0005129450809238795,-0.08861320860653762,1.088643040047558,0.0,0.0,0.37172482372780213,24.174599214268472,-5.260129417078363,19.064508384995605,-2.2263976805741845,14.018442289621623,-20.0,0.637076343002962,-0.12218550837271944,-3.6015188645952754,1.0276723084761432,-0.04740839401087743,0.21509613531076524,0.6420600357494496,0.016446562254218665,0.8789232667465813,-0.03363181269756966,0.0,-0.014842651203827896,0.09345628193081082,-1.0,0.0005129450809238795,0.08861320860653762,-0.9128086233593108,0.06969164825439456,-0.011971414525543652,0.0027510193910523922,0.637076343002962,-0.12218550837271944,-1.0,0.0,0.0
5.0,0.1,1.5085947676070017,0.012228581779135361,-0.09105691877399201,1.0166126627556524,0.0,0.0,0.37172482372780213,20.51723231691635,-5.134373042724114,20.357060425176915,-4.412338684940288,14.32361356262529,-17.384258700779323,0.6653305423573059,-0.10606403377640158,-3.2299186490455765,1.0406881017586054,-0.04251144063842438,0.21764038862533153,0.6316802970436195,0.024849065232117842,0.8775825682691025,-0.02551716293783816,0.0,-0.02941559123293525,0.0954907570841686,-0.8692129350389661,-0.012228581779135361,0.09105691877399201,-0.821096698569063,0.07203037729190553,-0.01274152686005924,0.0024437101674543854,0.6653305423573059,-0.10606403377640158,-1.0,0.0,0.0
6.0,0.12000000000000001,1.5102730899482997,0.02553519262628148,-0.09317819944952004,0.9520142897747409,0.0,0.0,0.37172482372780213,17.999116480493136,-5.2244401213018525,16.396274748584414,-6.61235983939252,14.574929128894198,-15.50481472347878,0.6853073083943245,-0.08965966709641501,-3.1184861459073723,1.0524025061017015,-0.039934425085548286,0.2171908282813636,0.6168873115213958,0.03597921997719505,0.8778193159901339,-0.020412757540425035,0.0,-0.044082398929283464,0.09716619419262798,-0.7752407361739391,-0.02553519262628148,0.09317819944952004,-0.738847495564215,0.06459837298091153,-0.013306610847146119,0.0021212806755280256,0.6853073083943245,-0.08965966709641501,-1.0,0.0,0.0
7.0,0.14,1.5110001904438364,0.03924133879416797,-0.09497139279144834,0.8896445668565934,0.0,0.0,0.37172482372780213,16.522990024717117,-5.601531903124169,15.291975585648652,-8.820257961622016,14.772210170751015,-13.95445788123582,0.6988208734172984,-0.0735707578549644,-2.9512964328557683,1.063604962483577,-0.04028815567834067,0.21682546054921434,0.5982204923047066,0.05143370712660542,0.8780117731962911,-0.016665782183766704,0.0,-0.058801719744146774,0.0984814011383401,-0.697722894061791,-0.03924133879416797,0.09497139279144834,-0.6594358979506547,0.06236972291814746,-0.013706146167886488,0.0017931933419283036,0.6988208734172984,-0.0735707578549644,-1.0,0.0,0.0
8.0,0.16,1.5130652166498841,0.05321775626251393,-0.09644280794854762,0.830618638199478,0.0,0.0,0.37172482372780213,15.734013460258602,-6.2674039465289555,13.707324233910038,-11.02600563208263,14.918156421940363,-12.394601982877491,0.7070805362737475,-0.05839399912617246,-2.7872061514767,1.0751061618042135,-0.043585557282057596,0.21735488043623988,0.5765130432296682,0.07213125154410752,0.8777329153522389,-0.013311993476130254,0.0,-0.0735067042138842,0.09945437614626909,-0.6197300991438746,-0.05321775626251393,0.09644280794854762,-0.5842817514196988,0.05902592865711542,-0.013976417468345964,0.0014714151570992817,0.7070805362737475,-0.05839399912617246,-1.0,0.0,0.0
9.0,0.18,1.51854712889243,0.06735936698798889,-0.09761068793107107,0.774874515169944,0.0,0.0,0.37172482372780213,15.468836858882572,-7.198712998220605,12.236307533389184,-13.223819990006826,15.018201876194373,-10.934093563084417,0.7110191623594944,-0.04467559758586761,-2.624429405188604,1.087147111488606,-0.04953715054218032,0.21845575072715614,0.552676456045407,0.09927340355182643,0.8771533447290123,-0.01055607543381587,0.0,-0.08815879993337884,0.10012134584129583,-0.5467046781542209,-0.06735936698798889,0.09761068793107107,-0.513306129591914,0.05574412302953402,-0.014141610725474957,0.0011678799825234482,0.7110191623594944,-0.04467559758586761,-1.0,0.0,0.0
10.0,0.19999999999999998,1.5297288128822728,0.08157975023517877,-0.09850419988278843,0.7223859270661719,0.0,0.0,0.37172482372780213,15.111927872613553,-8.050979032438898,10.85953609773205,-15.407009070251442,15.079558183106954,-9.556366373560433,0.710501476047849,-0.03234475697066049,-2.461533189667152,1.0925063931343204,-0.056296479359481316,0.2199508532024225,0.5275569297512043,0.13410393758589667,0.8763668370724832,-0.008298891527311222,0.0,-0.10271339380167628,0.1005303878873797,-0.4778183186780216,-0.08157975023517877,0.09850419988278843,-0.44647558357087574,0.052488588103772105,-0.014220383247189883,0.0008935119517173573,0.710501476047849,-0.03234475697066049,-1.0,0.0,0.0
