step,time,reward,x,y,psi,x_d,y_d,psi_d,Fx,Fy,N,Fx_set,Fy_set,N_set,u,v,r,u_current,v_current,rmsAc,r0,r1,r2,r3,r4,a0,a1,a2,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1.0,0.02,0.9850581257381191,-0.02616127677529534,-0.49534922481993815,3.7475432673474516,0.0,0.0,4.9032078093691975,32.67299907036506,-4.411407098032132,0.0,150.0,150.0,20.0,0.32047894573748253,0.2554185840385401,2.5,0.7473567312122997,0.1072937138783969,0.0,0.08372665360128423,0.0013314721368348958,1.0,-0.10000000000000002,0.0,1.0,1.0,1.0,0.02616127677529534,0.49534922481993815,1.0,0.0,0.0,0.0,0.32047894573748253,0.2554185840385401,1.0,0.0,0.0
2.0,0.04,0.9088178768791028,-0.01975169786054569,-0.4902408531391673,3.7975432673474514,0.0,0.0,4.9032078093691975,17.319294607227334,-15.378299884688497,-9.862499999999999,3.924191516294301,74.30238372299073,20.0,0.3577482196383977,0.35879416971977207,3.7671875000000004,0.7399481068620994,0.1322913379918959,0.2464149164007944,0.08601849582966589,0.0017731614751345776,0.8625613951387099,-0.04153517556440758,0.0,0.02616127677529534,0.49534922481993815,1.0,0.01975169786054569,0.4902408531391673,1.0,-0.04999999999999982,-0.00640957891474965,-0.005108371680770829,0.3577482196383977,0.35879416971977207,1.0,0.0,0.0
3.0,0.06,0.9192618520912943,-0.012596733467777736,-0.48306496974477187,3.8728870173474514,0.0,0.0,4.9032078093691975,19.513712365514596,-21.01642215201162,-22.260840698242195,0.5591625860507345,71.62048859058604,20.0,0.3929637897288632,0.4475732336470956,3.484582412719726,0.7330632853717021,0.14772976088039605,0.23555625619635343,0.08926499048391995,0.002730410560196132,0.8681994985268107,-0.04093304747963245,0.0,0.0037277505736715635,0.47746992393724025,1.0,0.012596733467777736,0.48306496974477187,1.0,-0.07534375000000004,-0.007154964392767953,-0.007175883394395455,0.3929637897288632,0.4475732336470956,1.0,0.0,0.0
4.0,0.08,0.9341005995460164,-0.0047374576732004715,-0.47411350507183,3.9425786656018458,0.0,0.0,4.9032078093691975,22.748320317050887,-24.572374225904955,-19.064508384995605,-0.7936016271213219,69.76878918881748,20.0,0.431480840062073,0.5268651897223807,3.6015188645952754,0.7211656090216623,0.1538359239321265,0.21844470535575325,0.09341663291653964,0.004070458788173782,0.8771591578389566,-0.040545649997653664,0.0,-0.005290677514142146,0.46512526125878323,1.0,0.0047374576732004715,0.47411350507183,1.0,-0.06969164825439433,-0.007859275794577264,-0.008951464672941889,0.431480840062073,0.5268651897223807,1.0,0.0,0.0
5.0,0.1,0.9494907950767724,0.0038921591280409885,-0.46357620127738236,4.014609042893751,0.0,0.0,4.9032078093691975,25.377652368094896,-25.94664478112058,-20.357060425176915,-2.2366097719864033,67.76022650842128,20.0,0.47207916040612297,0.6002223506474696,3.556886311448161,0.7063259874466181,0.1491949478260653,0.20359457316716786,0.09847400238608182,0.006150044877982476,0.8850096377678854,-0.04014288995517734,0.0,-0.014910731813242688,0.4517348433894752,1.0,-0.0038921591280409885,0.46357620127738236,1.0,-0.07203037729190509,-0.00862961680124146,-0.010537303794447617,0.47207916040612297,0.6002223506474696,1.0,0.0,0.0
6.0,0.12000000000000001,0.9654825388927039,0.013333742336163449,-0.45157175426443297,4.085746769122714,0.0,0.0,4.9032078093691975,26.070342050289238,-26.823482746257064,-19.858714402280693,-3.8199301696716956,65.58494126868949,20.0,0.5111149707229958,0.6682249094587546,3.5745470111630744,0.6913789523497815,0.1342022172834993,0.19142776331210254,0.10447130548745623,0.00924468254965397,0.8914939232818435,-0.0397273724262498,0.0,-0.025466201131144638,0.4372329417912633,1.0,-0.013333742336163449,0.45157175426443297,1.0,-0.07113772622896342,-0.00944158320812246,-0.012004447012949393,0.5111149707229958,0.6682249094587546,1.0,0.0,0.0
7.0,0.14,0.9828899728921237,0.023556041750623365,-0.4382072560752579,4.157237709345976,0.0,0.0,4.9032078093691975,24.814553105040158,-28.022694885973838,-20.055167110054462,-5.54065505347044,63.23409550980892,20.0,0.54492882695382,0.7299992965181143,3.5676511224062666,0.6785380478165306,0.1113431712574032,0.18149983757573207,0.11144772159712966,0.013924661010313304,0.8968201824229995,-0.03930259213831879,0.0,-0.0369377003564696,0.42156063673205946,1.0,-0.023556041750623365,0.4382072560752579,0.9497986305396103,-0.07149094022326175,-0.010222299414459917,-0.013364498189175067,0.54492882695382,0.7299992965181143,1.0,0.0,0.0
8.0,0.16,1.0030777412584737,0.034454618289699764,-0.42360727014489563,4.228590731794101,0.0,0.0,4.9032078093691975,22.07230548108434,-29.769638335823014,-19.978344101938816,-7.366768543015975,60.719401590348035,18.493958916188312,0.5707280145644662,0.7842971267892109,3.3821029741874535,0.6691772029776197,0.08482057660618822,0.18165663092963566,0.11942928697567004,0.0209572394622128,0.8967358171248868,-0.03404460230429596,0.0,-0.04911179028677316,0.40479601060232023,0.9246979458094156,-0.034454618289699764,0.42360727014489563,0.8589491407222813,-0.07135302244812536,-0.010898576539076398,-0.01459998593036227,0.5707280145644662,0.7842971267892109,1.0,0.0,0.0
9.0,0.18,1.0261046357054469,0.04586917858098909,-0.40792132760911143,4.29623279127785,0.0,0.0,4.9032078093691975,18.481392556482962,-31.99876207528837,-17.96660902660493,-9.255158945608613,58.06609579784849,16.270487916272337,0.5869143893203861,0.830029291214755,3.1700878353958792,0.6634385754142272,0.05933822359780751,0.18676632976457744,0.12841851968429135,0.030878019827119168,0.8939907971665568,-0.027182700972520568,0.0,-0.06170105963739076,0.38710730531898996,0.8135243958136169,-0.04586917858098909,0.40792132760911143,0.7728245957002443,-0.0676420594837488,-0.011414560291289323,-0.015685942535784203,0.5869143893203861,0.830029291214755,1.0,0.0,0.0
10.0,0.19999999999999998,1.0516050180058525,0.05760746636739681,-0.39132074178481635,4.359634547985768,0.0,0.0,4.9032078093691975,14.883200602134085,-34.49641513285652,-15.798564318871357,-11.160836896381861,55.305970690447644,14.595246463784516,0.5934448519620567,0.8665372834210552,3.019673103510024,0.6606154855499837,0.03863447545678824,0.19182524142034338,0.13838834150498475,0.04440312747745587,0.8912813390412451,-0.022467790017833125,0.0,-0.0744055793092124,0.36870647126965095,0.7297623231892258,-0.05760746636739681,0.39132074178481635,0.6920989718540459,-0.06340175670791748,-0.011738287786407724,-0.016600585824295078,0.5934448519620567,0.8665372834210552,1.0,0.0,0.0
