step,time,reward,x,y,psi,x_d,y_d,psi_d,Fx,Fy,N,Fx_set,Fy_set,N_set,u,v,r,u_current,v_current,rmsAc,r0,r1,r2,r3,r4,a0,a1,a2,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10
1.0,0.02,1.0103097613310998,-0.12078510763416983,-0.35904658548430435,4.819953649687616,0.0,0.0,2.2395292154843296,195.28859191706488,10.828856288749646,0.0,150.0,150.0,-20.0,0.6057694595036226,0.28215588822587656,-2.5,1.2611413070381152,-0.27122740878880275,0.0,0.15045477428082146,-0.040145012949721545,1.0,-0.10000000000000002,0.0,1.0,1.0,-1.0,0.12078510763416983,0.35904658548430435,-1.0,0.0,0.0,0.0,0.6057694595036226,0.28215588822587656,-1.0,0.0,0.0
2.0,0.04,0.948158582954365,-0.10866971844409738,-0.3534034677197868,4.769953649687616,0.0,0.0,2.2395292154843296,57.05457345816567,-15.834028519629129,9.862499999999999,18.117766145125476,53.85698782264565,-20.0,0.7376507570532562,0.34886283437151955,-3.7671875000000004,1.2633346286950577,-0.28572441514689995,0.2533613844802543,0.15744655016567835,-0.0301450076177487,0.8589738234989066,-0.0381167830924712,0.0,0.12078510763416983,0.35904658548430435,-1.0,0.10866971844409738,0.3534034677197868,-1.0,0.04999999999999982,-0.012115389190072448,-0.005643117764517536,0.7376507570532562,0.34886283437151955,-1.0,0.0,0.0
3.0,0.06,0.9730926938094753,-0.09391670330303226,-0.34642621103235643,4.694609899687616,0.0,0.0,2.2395292154843296,39.301160140356714,-20.253010352902272,22.260840698242195,11.757186820337438,50.89435099627394,-20.0,0.8272268043527197,0.402619572342347,-3.484582412719726,1.248093533730891,-0.26813825103169314,0.24390768000605054,0.1661847714732074,-0.019576530707378574,0.8638599588292171,-0.037375505785570744,0.0,0.07838124546891626,0.339295673308493,-1.0,0.09391670330303226,0.34642621103235643,-1.0,0.07534375000000004,-0.014753015141065126,-0.006977256687430378,0.8272268043527197,0.402619572342347,-1.0,0.0,0.0
4.0,0.08,0.9986822531143261,-0.07737216721597787,-0.3383738195855095,4.624918251433221,0.0,0.0,2.2395292154843296,29.259975037727358,-22.626878352999373,19.064508384995605,8.555124817555416,49.34746039706708,-20.0,0.8935690848005842,0.44949778645474653,-3.6015188645952754,1.2215564832212127,-0.24360169307710175,0.22721113284862737,0.17630582019279173,-0.01313168096204005,0.8725575390810323,-0.037049425197457866,0.0,0.05703416545036944,0.3289830693137805,-1.0,0.07737216721597787,0.3383738195855095,-1.0,0.06969164825439478,-0.01654453608705439,-0.00805239144684694,0.8935690848005842,0.44949778645474653,-1.0,0.0,0.0
5.0,0.1,1.022403300437,-0.05950078551996618,-0.32938386385641455,4.552887874141316,0.0,0.0,2.2395292154843296,21.58000604510964,-24.151966726332063,20.357060425176915,5.401624049751284,47.736426145258825,-20.0,0.940905277949463,0.4908740310493549,-3.556886311448161,1.187094744194323,-0.21899108237240522,0.2125410054352513,0.18757536513279585,-0.008691313191354329,0.8802717580118496,-0.03675250951629126,0.0,0.03601082699834189,0.31824284096839217,-1.0,0.05950078551996618,0.32938386385641455,-1.0,0.07203037729190509,-0.017871381696011684,-0.008989955729094945,0.940905277949463,0.4908740310493549,-1.0,0.0,0.0
6.0,0.12000000000000001,1.0441489451269037,-0.04068267996097692,-0.31956638323542746,4.4817501479123525,0.0,0.0,2.2395292154843296,16.193912617476894,-25.49492862824617,19.858714402280693,2.2233496919905456,46.036346180051574,-20.0,0.9732162644573006,0.5269116057016451,-3.5745470111630744,1.1493967040857478,-0.1982853065912676,0.20047239576798967,0.19974220132838671,-0.0057819147264749375,0.8866690858634548,-0.03648042733846285,0.0,0.01482233127993697,0.30690897453367716,-1.0,0.04068267996097692,0.31956638323542746,-1.0,0.07113772622896342,-0.01881810555898926,-0.009817480620987085,0.9732162644573006,0.5269116057016451,-1.0,0.0,0.0
7.0,0.14,1.0643728844554041,-0.02121835467183091,-0.3090281511213946,4.410259207689091,0.0,0.0,2.2395292154843296,12.81639262856575,-26.960768547717116,20.055167110054462,-0.9543875904744349,44.25340225244396,-20.0,0.9940267996118467,0.5572495595695869,-3.5676511224062666,1.1152436710081088,-0.18335242891314002,0.19059374583457886,0.21250735355330935,-0.003838654753307176,0.891940147828127,-0.036235962172725136,0.0,-0.006362583936496233,0.29502268168295975,-1.0,0.02121835467183091,0.3090281511213946,-1.0,0.07149094022326175,-0.019464325289146014,-0.010538232114032875,0.9940267996118467,0.5572495595695869,-1.0,0.0,0.0
8.0,0.16,1.0832335870031178,-0.0013378186795939759,-0.29788315993000286,4.338906185240965,0.0,0.0,2.2395292154843296,11.453883097346475,-28.666494796986292,19.978344101938816,-4.116368782655119,42.40238562544686,-20.0,1.0068996317428842,0.5813476136546054,-3.5703581096639145,1.0902051889068487,-0.1737934773050741,0.18245711539895013,0.22550096961163604,-0.002550525142961097,0.8963052266806413,-0.0360220841461984,0.0,-0.027442458551034127,0.28268257083631243,-1.0,0.0013378186795939759,0.29788315993000286,-1.0,0.07135302244812536,-0.019880535992236933,-0.011144991191391729,1.0,0.5813476136546054,-1.0,0.0,0.0
9.0,0.18,1.1006748652420795,0.01880017395526371,-0.28625620765691073,4.267499023047687,0.0,0.0,2.2395292154843296,11.94226152064364,-30.645584082048735,20.00848346610294,-7.254528195149754,40.50310229272853,-20.0,1.0151237252963823,0.5986415052522892,-3.569297676401047,1.076240062352956,-0.16838359631777947,0.17570468916962556,0.23826672983570535,-0.0016941249846883413,0.8999439336868692,-0.0358416732958066,0.0,-0.04836352130099836,0.2700206819515235,-1.0,-0.01880017395526371,0.28625620765691073,-1.0,0.07140716219327814,-0.020137992634857684,-0.011626952273092128,1.0,0.5986415052522892,-1.0,0.0,0.0
10.0,0.19999999999999998,1.1164235401961304,0.03910264846119135,-0.27428337755186494,4.196113069519666,0.0,0.0,2.2395292154843296,13.976274713604221,-32.94545661373886,19.996673986629038,-10.371773331361188,38.578324046127065,-20.0,1.0214474119318964,0.6085237288178825,-3.569713428072417,1.072135874083753,-0.16584568359570684,0.1700663054934327,0.25025290333844663,-0.0011254185252849434,0.90299362689148,-0.03569757150851129,0.0,-0.06914515554240792,0.25718882697418044,-1.0,-0.03910264846119135,0.27428337755186494,-1.0,0.07138595352802124,-0.020302474505927644,-0.011972830105045795,1.0,0.6085237288178825,-1.0,0.0,0.0
11.0,0.21999999999999997,1.2048122052421966,0.059531596699829284,-0.26211290297550727,4.124718800958218,0.0,0.0,2.2395292154843296,16.92942170327487,-35.59994700580102,20.00130357573389,-13.47882520890157,36.65269534338757,-20.0,1.0275010899922004,0.6103706557259291,-3.569550481105681,1.0741635602136141,-0.16577471740714378,0.033098181041509224,0.2608155509848159,-0.0007475874145215674,0.9803369806421945,-0.03559273897029231,0.0,-0.08985883472601047,0.24435130228925045,-1.0,-0.059531596699829284,0.26211290297550727,-1.0,0.07139426856144837,-0.02042894823863793,-0.01217047457635767,1.0,0.6103706557259291,-1.0,0.0,0.0
12.0,0.23999999999999996,1.2144066427114344,0.0800816184996733,-0.24990548986098868,4.053327791336104,0.0,0.0,2.2395292154843296,20.300255016920737,-38.11024031527662,19.99948902127819,-16.59059509446362,34.75300748019196,-20.0,1.0340092652947568,0.6044807735591139,-3.5696143534459073,1.0828112919107113,-0.1610740879006192,0.031659408273243296,0.2692500193794945,-0.0004966129183255291,0.9811836353236087,-0.03553039907334329,0.0,-0.11060396729642412,0.2316867165346131,-1.0,-0.0800816184996733,0.24990548986098868,-1.0,0.07139100962211398,-0.020550021799844012,-0.01220741311451859,1.0,0.6044807735591139,-1.0,0.0,0.0
